holiday,workingday,weather,temp,atemp,humidity,windspeed,month,day,time,fall,spring,summer,winter,predicted_demand
0,1,1,10.66,11.365,56,26.0027,1,20,0,0.0,1.0,0.0,0.0,13
0,1,1,10.66,13.635,56,0.0,1,20,1,0.0,1.0,0.0,0.0,6
0,1,1,10.66,13.635,56,0.0,1,20,2,0.0,1.0,0.0,0.0,5
0,1,1,10.66,12.88,56,11.0014,1,20,3,0.0,1.0,0.0,0.0,2
0,1,1,10.66,12.88,56,11.0014,1,20,4,0.0,1.0,0.0,0.0,2
0,1,1,9.84,11.365,60,15.0013,1,20,5,0.0,1.0,0.0,0.0,15
0,1,1,9.02,10.605,60,15.0013,1,20,6,0.0,1.0,0.0,0.0,58
0,1,1,9.02,10.605,55,15.0013,1,20,7,0.0,1.0,0.0,0.0,163
0,1,1,9.02,10.605,55,19.0012,1,20,8,0.0,1.0,0.0,0.0,291
0,1,2,9.84,11.365,52,15.0013,1,20,9,0.0,1.0,0.0,0.0,174
0,1,1,10.66,11.365,48,19.9995,1,20,10,0.0,1.0,0.0,0.0,125
0,1,2,11.48,13.635,45,11.0014,1,20,11,0.0,1.0,0.0,0.0,123
0,1,2,12.3,16.665,42,0.0,1,20,12,0.0,1.0,0.0,0.0,138
0,1,2,11.48,14.395,45,7.0015,1,20,13,0.0,1.0,0.0,0.0,127
0,1,2,12.3,15.15,45,8.9981,1,20,14,0.0,1.0,0.0,0.0,127
0,1,2,13.12,15.91,45,12.998,1,20,15,0.0,1.0,0.0,0.0,133
0,1,2,12.3,15.15,49,8.9981,1,20,16,0.0,1.0,0.0,0.0,132
0,1,2,12.3,15.91,49,7.0015,1,20,17,0.0,1.0,0.0,0.0,208
0,1,2,10.66,12.88,56,12.998,1,20,18,0.0,1.0,0.0,0.0,203
0,1,1,10.66,11.365,56,22.0028,1,20,19,0.0,1.0,0.0,0.0,199
0,1,2,10.66,12.12,60,19.0012,1,20,20,0.0,1.0,0.0,0.0,108
0,1,2,9.84,11.365,60,16.9979,1,20,21,0.0,1.0,0.0,0.0,84
0,1,2,9.84,10.605,65,19.0012,1,20,22,0.0,1.0,0.0,0.0,63
0,1,2,9.84,10.605,65,22.0028,1,20,23,0.0,1.0,0.0,0.0,37
0,1,2,9.84,11.365,70,16.9979,1,21,0,0.0,1.0,0.0,0.0,14
0,1,2,9.84,11.365,70,16.9979,1,21,1,0.0,1.0,0.0,0.0,5
0,1,3,9.84,12.12,75,11.0014,1,21,2,0.0,1.0,0.0,0.0,5
0,1,3,9.02,10.605,80,19.9995,1,21,3,0.0,1.0,0.0,0.0,2
0,1,2,9.02,12.88,87,6.0032,1,21,4,0.0,1.0,0.0,0.0,2
0,1,1,9.84,9.85,60,27.9993,1,21,5,0.0,1.0,0.0,0.0,11
0,1,1,9.02,10.605,55,16.9979,1,21,6,0.0,1.0,0.0,0.0,53
0,1,1,8.2,9.09,51,19.0012,1,21,7,0.0,1.0,0.0,0.0,151
0,1,1,8.2,9.09,47,22.0028,1,21,8,0.0,1.0,0.0,0.0,267
0,1,1,8.2,9.09,51,23.9994,1,21,9,0.0,1.0,0.0,0.0,154
0,1,1,8.2,8.335,47,31.0009,1,21,10,0.0,1.0,0.0,0.0,87
0,1,1,9.02,9.09,41,31.0009,1,21,11,0.0,1.0,0.0,0.0,92
0,1,1,9.02,9.09,27,39.0007,1,21,12,0.0,1.0,0.0,0.0,94
0,1,1,8.2,7.575,21,39.0007,1,21,13,0.0,1.0,0.0,0.0,95
0,1,1,8.2,7.575,25,35.0008,1,21,14,0.0,1.0,0.0,0.0,95
0,1,1,6.56,6.06,26,30.0026,1,21,15,0.0,1.0,0.0,0.0,94
0,1,1,6.56,6.82,26,23.9994,1,21,16,0.0,1.0,0.0,0.0,106
0,1,1,5.74,6.06,28,23.9994,1,21,17,0.0,1.0,0.0,0.0,176
0,1,1,4.92,6.06,30,16.9979,1,21,18,0.0,1.0,0.0,0.0,168
0,1,1,4.92,5.305,30,22.0028,1,21,19,0.0,1.0,0.0,0.0,156
0,1,1,4.1,3.79,33,27.9993,1,21,20,0.0,1.0,0.0,0.0,103
0,1,1,3.28,3.79,38,19.0012,1,21,21,0.0,1.0,0.0,0.0,77
0,1,1,2.46,1.515,41,26.0027,1,21,22,0.0,1.0,0.0,0.0,49
0,1,1,2.46,2.275,38,22.0028,1,21,23,0.0,1.0,0.0,0.0,27
0,0,1,1.64,1.515,45,16.9979,1,22,0,0.0,1.0,0.0,0.0,39
0,0,2,1.64,0.0,41,26.0027,1,22,1,0.0,1.0,0.0,0.0,30
0,0,2,1.64,1.515,41,16.9979,1,22,2,0.0,1.0,0.0,0.0,32
0,0,2,1.64,1.515,41,19.0012,1,22,3,0.0,1.0,0.0,0.0,14
